Question Wording,Choice 1,Title/ID
"1) How many rows are in the `patient` table?
Requirements:
Must use: count()
Output dimensions: 1x1
",30,synpuf-homework-01-001
"2) How many unique patients are in the `patient` table? 
Must use: count()
Must NOT use: (*)
Output dimensions: 1x1
",30,synpuf-homework-01-002
"3) How many men are in the patient table?
Requirements:
Must use: count(), WHERE
Output dimensions: 1x1
",13,synpuf-homework-01-003
"4) How many women are in the patient table? 
Requirements:
Must use: count(), WHERE
name the calculated field 'n_women'
Output dimensions: 1x1
",17,synpuf-homework-01-004
"5) What value of gender is more prevalent in the patient table?
Requirements:
Must use: count(), GROUP BY, ORDER BY
Must NOT use: WHERE
calculated field must be named 'n_patients'
Output dimensions: 2x2
The answer must be stored in the first row
",female,synpuf-homework-01-005
"6) How many race categories are present in the patient table?
Requirements:
Must use: count(), distinct()
Output dimensions: 1x1
",2,synpuf-homework-01-006
"7) How many patients are in the largest race category?
Requirements:
Must use: distinct(), count(), GROUP BY, ORDER BY, LIMIT
Must NOT use: AS
Output dimensions: 1x2
",26,synpuf-homework-01-007
"8) How many patients are in the smallest ethnicity category?
Requirements:
Must use: distinct(), count(), GROUP BY, ORDER BY, LIMIT
calculated field must be named 'n_patients'
must return a single row
Output dimensions: 1x2
",30,synpuf-homework-01-008
"9) How many white females are in the patient table? 
Requirements: 
MUST use: count(), WHERE 
calculated field must be named `n_patients`
must include gender and race columns
Output dimensions: 1x3
",14,synpuf-homework-01-009
"10) How many non-white males are in the patient table?
Requirements: 
MUST use: count(), WHERE, != 
Output dimensions: 1x1
",0,synpuf-homework-01-010
"11) How many patients were born before 1946? 
Requirements:
Must use: count(), WHERE
Output dimensions: 1x1
",28,synpuf-homework-01-011
"12) How many patients were born in the 1930s ? 
Requirements:
Must use: count(), WHERE, BETWEEN
Output dimensions: 1x1
",16,synpuf-homework-01-012
"13) How many non-white females were born prior to 1945?
Requirements:
Must use: count(), WHERE
Output dimensions: 1x1
",2,synpuf-homework-01-013
"14) How many white males were born after 1925?
Requirements:
Must use: count(), GROUP BY, AS
Must NOT use: WHERE
create a Boolean field named 'born_after_1925'
output must contain fields: gender, race, born_after_1925, n_patients
",11,synpuf-homework-01-014
